time,open,high,low,close,ask_size,bid_size
2025-06-26 20:37:00,107832.0,107878.1,107796.1,107867.1,3.5641249999999998,4.705421
2025-06-26 20:38:00,107867.1,107890.3,107772.0,107772.1,4.562574,3.608094
2025-06-26 20:39:00,107772.1,107808.8,107772.1,107806.2,0.828038,4.439029
2025-06-26 20:40:00,107806.3,107863.4,107806.3,107863.4,2.084374,6.717822
2025-06-26 20:41:00,107863.5,107871.5,107817.0,107817.1,3.444225,0.928155
2025-06-26 20:42:00,107817.0,107867.3,107817.0,107864.7,1.511843,4.7945
2025-06-26 20:43:00,107865.8,107877.2,107865.8,107873.2,1.320572,2.860178
2025-06-26 20:44:00,107873.1,107939.8,107873.1,107939.8,3.408757,19.528832
2025-06-26 20:45:00,107939.7,107995.0,107783.2,107790.0,13.484328,13.946472
2025-06-26 20:46:00,107789.6,107789.6,107725.4,107764.5,7.286742,2.437932
2025-06-26 20:47:00,107764.5,107816.2,107762.2,107806.7,2.690122,4.077117
2025-06-26 20:48:00,107806.8,107829.8,107788.5,107788.5,3.458288,5.015142
2025-06-26 20:49:00,107787.8,107787.8,107705.8,107705.8,4.420338,1.039477
2025-06-26 20:50:00,107705.8,107720.2,107681.9,107720.1,3.069681,2.307071
2025-06-26 20:51:00,107720.1,107720.1,107673.6,107716.7,1.7139739999999999,1.540564
2025-06-26 20:52:00,107717.0,107720.4,107688.7,107693.7,1.5388,0.9369540000000001
2025-06-26 20:53:00,107693.8,107752.6,107693.8,107752.5,0.183132,1.66783
2025-06-26 20:54:00,107752.6,107772.5,107739.5,107739.5,2.058753,0.639197
2025-06-26 20:55:00,107739.6,107775.7,107728.7,107756.6,3.710515,6.750828
2025-06-26 20:56:00,107756.5,107756.5,107706.0,107706.0,1.636686,0.022654
2025-06-26 20:57:00,107705.8,107726.1,107702.1,107726.0,0.327757,1.393192
2025-06-26 20:58:00,107726.0,107766.5,107726.0,107749.5,1.542936,0.365713
2025-06-26 20:59:00,107749.5,107773.2,107748.6,107773.1,0.264845,1.802332
2025-06-26 21:00:00,107773.1,107773.2,107719.0,107719.0,3.057789,0.009867
2025-06-26 21:01:00,107719.1,107738.0,107710.5,107710.6,1.66735,1.024506
2025-06-26 21:02:00,107710.5,107797.7,107706.1,107732.1,3.460327,5.895796
2025-06-26 21:03:00,107732.1,107732.1,107705.8,107705.8,2.535947,0.053774999999999996
2025-06-26 21:04:00,107705.8,107705.8,107685.9,107699.1,0.436693,0.369425
2025-06-26 21:05:00,107699.2,107713.8,107672.4,107672.4,2.01778,1.555584
2025-06-26 21:06:00,107672.5,107702.2,107672.5,107701.4,0.397662,0.643987
2025-06-26 21:07:00,107701.4,107701.4,107605.8,107605.8,4.742676,0.019846
2025-06-26 21:08:00,107605.6,107618.7,107522.6,107528.2,5.5903279999999995,2.699424
2025-06-26 21:09:00,107528.1,107531.7,107516.1,107517.1,0.6496919999999999,0.315214
2025-06-26 21:10:00,107517.1,107517.2,107486.5,107497.4,3.561923,3.2022139999999997
2025-06-26 21:11:00,107497.4,107497.4,107428.6,107473.1,3.63709,2.011678
